Company,LemFi Relevance Score,Tier,Category,Main Employee Location,In Original List,Status,Last Funding Stage,Valuation Band,Est. Valuation / ARR (notes),Data Confidence,Category Fit,Market Overlap,Product Adjacency,Talent / Stage Poachability,Growth / Heat,Flags / Competitive Notes
Float,61.7,C — Watch,Expensing / Payroll Payments,Canada,,Private,Series B,$50-250M,Canada corporate cards/expense,Low,52,70,45,86,62,
Neonomics,61.6,C — Watch,Open Banking,Norway,,Private,Series B,$50-250M,Norway open-banking payments,Low,72,50,55,86,52,
Clark,61.4,C — Watch,Insurtech,Germany,,Private,Series D,$250M-1B,German digital insurance broker,Low,70,52,52,84,55,
Akur8,61.4,C — Watch,Insurtech,France,,Private,Series C,$250M-1B,Insurance pricing AI; ~$120m Series C 2024,Medium,70,52,40,88,62,
Clearco,61.3,C — Watch,Business Lending,Canada,,Private,Late/Growth,$250M-1B,Canada e-comm financing; post-peak retrench,Medium,64,70,48,81,42,
Treezor,61.3,C — Watch,Banking Infrastructure,France,,Subsidiary,Societe Generale,n/a,"France BaaS, SG-owned",Low,74,52,55,77,50,
Coverflex,61.2,C — Watch,Insurtech,Portugal,,Private,Series B,$50-250M,Portugal flexible benefits/comp,Low,70,52,45,86,58,
Quantfolio,61.1,C — Watch,Savings / Investments / Wealth,Norway,,Private,Private,<$50M,Norway digital advice/B2B wealth,Low,86,50,48,73,42,
Getsafe,61.1,C — Watch,Insurtech,Germany,,Private,Series B,$50-250M,German neo-insurer,Low,70,52,50,91,50,
Qashio,60.7,C — Watch,Expensing / Payroll Payments,UAE,,Private,Series A,<$50M,UAE spend management,Low,52,76,45,70,58,Gulf
Nexi,60.4,C — Watch,Card Payment Processors,Italy,,Public,Public (Euronext),Public,Italy/EU paytech giant,Medium,78,50,55,80,40,
Silvr,60.2,C — Watch,Business Lending,France,,Private,Series B,$50-250M,France revenue-based financing,Low,64,52,50,86,58,
Paynt,60.2,C — Watch,Card Payment Processors,Lithuania,,Private,Private,<$50M,Lithuania/UK acquiring,Low,78,55,48,73,42,
Solaris,60.2,C — Watch,Banking Infrastructure,Germany,,Private,Late/Growth,$250M-1B,Germany BaaS; down-round/restructuring,Medium,74,52,55,86,38,Distress = availability
Remote,60,C — Watch,Expensing / Payroll Payments,Portugal,,Private,Series C,$1-10B,Portugal/global payroll+EOR unicorn ~$3B,Medium,52,52,55,88,70,Global payroll talent
Defacto,59.9,C — Watch,Business Lending,France,,Private,Series A,$50-250M,France embedded SME credit,Low,64,52,52,70,65,
Velmie,59.6,C — Watch,Banking Infrastructure,Lithuania,,Private,Bootstrapped,<$50M,Lithuania banking platform vendor,Low,74,55,48,80,40,
Descartes Underwriting,59.6,C — Watch,Insurtech,France,,Private,Series B,$250M-1B,Parametric/climate insurance,Low,70,52,38,86,55,
Shift Technology,59.3,C — Watch,Insurtech,France,,Private,Series D,$250M-1B,Insurance fraud/claims AI; unicorn 2021,Medium,70,52,40,89,50,
Fabrick,59.3,C — Watch,Open Banking,Italy,,Private,Private,$50-250M,Italy open-finance platform,Low,72,50,55,73,48,
Lufax,59.2,C — Watch,Consumer Credit,China,,Public,Public (NYSE/HK),Public,China consumer/SME credit; declining,Low,88,42,55,80,30,
Worldline,59.1,C — Watch,Card Payment Processors,France,,Public,Public (Euronext),Public,France payments giant; turnaround/distress,Medium,78,52,55,80,30,Senior talent poachable
Two,58.8,C — Watch,Business Lending,Norway,,Private,Series A,$50-250M,Norway B2B BNPL,Low,64,50,52,70,62,
ottonova,57.9,D — Low,Insurtech,Germany,,Private,Series E,$50-250M,German digital health insurer,Low,70,52,40,85,45,
wefox,56.9,D — Low,Insurtech,Germany,,Private,Late/Growth,$1-10B,Insurtech; ~$4.5B peak then steep restructuring/down-round,Medium,70,52,50,86,30,Distress = high talent availability
Credimi,56.4,D — Low,Business Lending,Italy,,Private,Late/Growth,$50-250M,Italy SME financing,Low,64,50,48,81,45,
Payflow,56.4,D — Low,Expensing / Payroll Payments,Spain,,Private,Series A,$50-250M,Spain/LatAm earned-wage access,Low,52,55,52,70,60,
Aprila Bank,56,D — Low,Business Lending,Norway,,Private,Private,<$50M,Norway SME bank,Low,64,50,48,73,48,
Moss,55.8,D — Low,Expensing / Payroll Payments,Germany,,Private,Series C,$250M-1B,Germany spend management,Low,52,52,45,88,55,
Spendesk,55.4,D — Low,Expensing / Payroll Payments,France,,Private,Late/Growth,$1-10B,France spend-management unicorn,Medium,52,52,48,76,58,
Cobee,55.1,D — Low,Expensing / Payroll Payments,Spain,,Subsidiary,Acquired (Pluxee),n/a,"Spain benefits, Pluxee-owned",Low,52,55,45,83,50,
Caary,54.9,D — Low,Expensing / Payroll Payments,Canada,,Private,Seed,<$50M,Canada SMB credit/expense,Low,52,70,42,63,42,
Mooncard,54.6,D — Low,Expensing / Payroll Payments,France,,Private,Series B,$50-250M,France corporate cards/expense,Low,52,52,42,86,52,
